DatasetName,MeanSkewnessOfNumericAtts,MeanKurtosisOfNumericAtts,MeanStdDevOfNumericAtts,MeanMeansOfNumericAtts,NumAttributes,Dimensionality,PercentageOfBinaryAtts,PercentageOfNominalAtts,NumNominalAtts,PercentageOfNumericAtts,NumNumericAtts,NumBinaryAtts,ClassCount,NegativePercentage,PositivePercentage,DefaultAccuracy,IncompleteInstanceCount,InstanceCount,NumMissingValues,PercentageOfMissingValues,MeanNominalAttDistinctValues,StdvNominalAttDistinctValues,MinNominalAttDistinctValues,MaxNominalAttDistinctValues,ClassEntropy,MeanMutualInformation,NoiseToSignalRatio,MeanAttributeEntropy,EquivalentNumberOfAtts,Algorithm(s),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
analcatdata_impeach.arff,-0.087513399,-0.973100195,22.10221065,47.285,11,0.11,0.363636364,0.727272727,8,0.181818182,2,4,2,0.62,0.38,0.62,0,100,0,0,20.5,36.19786892,2,100,0.958042022,0.275867373,7.632146126,2.381327476,3.472835556,trees.RandomForest(1): trees.FT(2): trees.LADTree(3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
analcatdata_japansolvent.arff,-1.823381822,7.801894116,0.492359995,0.142318029,10,0.192307692,0,0.1,1,0.8,8,0,2,0.519230769,0.480769231,0.519230769,0,52,0,0,52,0,52,52,0.998932655,0.998932655,4.706530557,5.700439718,1,trees.FT(1): trees.RandomForest(2): trees.LADTree(3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
analcatdata_lawsuit.arff,-0.070679385,0.320258116,8.88040691,22.79069444,5,0.018939394,0.2,0.2,1,0.6,3,1,2,0.928030303,0.071969697,0.928030303,0,264,0,0,2,0,2,2,0.373231552,0.041773786,21.70978735,0.948673807,8.934587544,trees.FT(1): trees.LADTree(1): trees.RandomTree(1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
analcatdata_marketing.arff,0,0,0,0,33,0.095100865,0,0.96969697,32,0,0,0,5,0.334293948,0.09221902,0.334293948,35,347,79,0.006898961,4.9375,0.353553391,3,5,2.211452072,0.040382649,45.93738328,1.895455861,54.76243242,trees.RandomForest(1): trees.FT(2): trees.J48(3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
analcatdata_michiganacc.arff,0.200107208,-1.012046447,17.03395504,32.86203704,5,0.046296296,0,0.4,2,0.4,2,0,2,0.555555556,0.444444444,0.555555556,0,108,0,0,8,5.656854249,4,12,0.99107606,0.122288439,21.83520243,2.79248125,8.104413394,trees.RandomTree(1): trees.SimpleCart(3): trees.BFTree(2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
analcatdata_ncaa.arff,1.623291622,5.589352723,5.303877679,5.75,20,0.166666667,0.05,0.75,15,0.2,4,1,2,0.875,0.125,0.875,0,120,0,0,2.933333333,0.25819889,2,3,0.543564443,0.015311203,40.34047196,0.632972372,35.50109232,trees.BFTree(1): trees.FT(1): trees.J48(1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
analcatdata_neavote.arff,0.107677017,-1.875268462,3.9678506,5.56,4,0.04,0,0.5,2,0.25,1,0,2,0.93,0.07,0.93,0,100,0,0,51,67.88225099,3,99,0.365923651,0.19545191,18.66913303,3.844369618,1.872192761,trees.BFTree(1): trees.FT(1): trees.J48(1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
analcatdata_negotiation.arff,-0.337080324,-0.286617142,14.49543217,57.52932394,6,0.065217391,0.166666667,0.166666667,1,0.666666667,4,1,2,0.717391304,0.282608696,0.717391304,17,92,26,0.047101449,2,0,2,2,0.858981037,0.007884581,125.4404223,0.996929708,108.9444162,trees.RandomForest(1): trees.FT(2): trees.J48(3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
analcatdata_olympic2000.arff,2.275259357,7.858746776,122247.869,45455.77048,13,0.196969697,0,0.076923077,1,0.846153846,11,0,2,0.5,0.5,0.5,0,66,0,0,66,0,66,66,1,1,5.044394119,6.044394119,1,trees.FT(1): trees.LADTree(1): trees.J48(2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
analcatdata_reviewer.arff,0,0,0,0,9,0.023746702,0,0.888888889,8,0,0,0,2,0.569920844,0.430079156,0.569920844,367,379,1368,0.401055409,50,132.9360749,3,379,0.985847205,0.138412461,14.15130689,2.097129677,7.122532155,trees.FT(1): trees.LADTree(2): trees.J48(3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
